time;elev_torq;ail_torq;Pitch;Aileron;Elevator;Rudder;ErrorRud;ErrSumRud;out_I;out_P;out_D;torq_main_rotor;torq_tail_rotor;force_tail;Piro_rate;tail_limt;tail_angle;Pcomp;
1.987303;9;0;0.4861194;0;0.04801621;0.0796248;0.1832706;-0.0001643537;-0.009861222;0.009163531;0.009552654;32.64732;37.24035;46.63902;0.7195862;0.008854964;10.30992;0;
2.004003;44;0;0.3980698;0;0.1247468;0.1480271;-0.1864503;-0.0004757257;-0.02854354;-0.009322516;-0.008855592;28.42005;30.89527;40.60008;0.9844177;-0.04672165;8.364742;-0.8804956;
2.020703;29;0;0.3980698;0;0.1247468;0.1480271;0.5556066;0.0004521373;0.02712824;0.02778033;0.01777382;28.44082;44.76139;40.62975;1.122856;0.07268239;12.54388;0;
2.037403;29;0;0.3393304;0;0.1399976;0.1688406;-0.7474298;-0.0007960706;-0.04776423;-0.03737149;-0.03121045;26.13671;22.98187;37.33815;2.0745;-0.1163462;5.927884;-0.5873942;
2.054103;-1;1;0.3393304;0;0.1399976;0.1688406;0.04086649;-0.0007278235;-0.04366941;0.002043325;0.01888135;26.18685;33.82011;37.40978;1.873598;-0.02274474;9.203935;0;
2.070803;24;1;0.295246;0;0.1861075;0.1902484;-0.5922412;-0.001716866;-0.103012;-0.02961206;-0.01516426;24.72825;19.37142;35.32607;2.308603;-0.1477883;4.82741;-0.4408437;
2.087503;40;2;0.280591;0;0.2320982;0.1794692;-0.08797598;-0.001863786;-0.1118272;-0.004398799;0.01207821;24.32483;24.39579;34.74976;1.976406;-0.1041478;6.354828;-0.1465505;
2.104203;46;2;0.2512808;0;0.2628381;0.1688406;-0.3446143;-0.002439292;-0.1463575;-0.01723071;-0.006147024;23.52457;16.7819;33.60654;1.965977;-0.1697353;4.059266;-0.2931017;
2.120903;35;3;0.2512808;0;0.2628381;0.1688406;0.3597189;-0.001838561;-0.1103137;0.01798595;0.01687025;23.56011;27.65725;33.6573;1.554746;-0.07545748;7.358988;0;
2.137603;51;3;0.2071965;0;0.3089479;0.1480271;-0.5465924;-0.002751371;-0.1650822;-0.02732962;-0.02170806;22.51285;11.60972;32.16121;1.784212;-0.2141199;2.505803;-0.4408434;
2.154303;53;3;0.1632313;0;0.3395687;0.1378379;-0.006302804;-0.002761896;-0.1657138;-0.0003151402;0.01294107;21.68399;18.63929;30.97713;1.12958;-0.1530878;4.641926;-0.4396521;
2.171003;49;0;0.1632313;0;0.3549386;0.108117;0.2838609;-0.002287848;-0.1372709;0.01419305;0.006950029;21.70563;22.91539;31.00804;0.9420662;-0.1161278;5.935526;0;
2.187703;40;1;0.1632313;0;0.3549386;0.108117;0.219784;-0.001920809;-0.1152485;0.0109892;-0.001534776;21.72707;24.12057;31.03867;1.006143;-0.1057941;6.297205;0;
2.204403;42;1;0.1632313;0;0.3703086;0.08898892;-0.1301327;-0.002138131;-0.1282878;-0.006506634;-0.008381238;21.75174;19.81176;31.07391;1.139168;-0.1431757;4.98885;0;
2.221103;35;2;0.1632313;0;0.3703086;0.08898892;-0.007240772;-0.002150223;-0.1290134;-0.0003620386;0.002943519;21.77465;21.75381;31.10664;1.016276;-0.1264319;5.574884;0;
2.237803;31;3;0.1632313;0;0.3703086;0.07039167;-0.2090641;-0.00249936;-0.1499616;-0.0104532;-0.004834091;21.79626;17.28609;31.13752;1.007227;-0.1652489;4.21629;0;
2.254503;29;3;0.1632313;0;0.3703086;0.07039167;0.06399465;-0.002392489;-0.1435493;0.003199732;0.006540328;21.81893;20.94608;31.1699;0.7341687;-0.1338093;5.316676;0;
2.271203;27;3;0.1632313;0;0.3703086;0.05231059;-0.0841049;-0.002532944;-0.1519766;-0.004205245;-0.003547294;21.83558;17.995;31.19369;0.6772489;-0.1597292;4.40948;0;
2.287903;11;0;0.1632313;0;0.3395687;0.04345912;0.04657602;-0.002455162;-0.1473097;0.002328801;0.003130082;21.85297;20.11375;31.21852;0.4462021;-0.1418508;5.035221;0;
